"","PID","DECADE","NHGISNAM","NHGISST","NHGISCTY","ICPSRST","ICPSRCTY","ICPSRNAM","STATENAM","ICPSRSTI","ICPSRCTYI","ICPSRFIP","STATE","COUNTY","PID.1","X_CENTROID","Y_CENTROID","GISJOIN","GISJOIN2","SHAPE_AREA","SHAPE_LEN","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean"
"11",11,"2000","Grayson","480","1810","49","1810","GRAYSON","Texas",49,1810,0,"480","1810",1719,-62424.16804244,-433290.35354655,"G4801810","4801810",2536123811.01,242608.326442,211.833333333333,128.5,33.9333333333333,8572.26666666667,395.166666666667,22.7333333333333,372.433333333333,257.5,98.9333333333333,321.4,98.9333333333333,921.433333333333,121.766666666667,47.2,29.7,310.066666666667,163,213.866666666667,163
"12",12,"2000","Mitchell","200","1230","32","1230","MITCHELL","Kansas",32,1230,0,"200","1230",1053,-188538.0143773,214387.64771905,"G2001230","2001230",1861223431.19,173446.792484,157.25,151.214285714286,33.6071428571429,10060.9642857143,381.071428571429,-61.5,442.892857142857,260.142857142857,24.3214285714286,286.857142857143,24.3214285714286,653.5,91.0714285714286,15.7857142857143,45.5,240.964285714286,63.5,228,63.5
"13",13,"2000","Bienville","220","0130","45","130","BIENVILLE","Louisiana",45,130,0,"220","0130",216,275621.3432225,-572037.29736455,"G2200130","2200130",2128393205.43,242374.715335,214.222222222222,141.111111111111,38.7777777777778,7835.37037037037,389.555555555556,31.037037037037,358.592592592593,109.814814814815,272.074074074074,313.111111111111,109.814814814815,1277.33333333333,141.518518518519,68.4814814814815,16.5925925925926,369.148148148148,256.666666666667,298.444444444444,369.148148148148
"14",14,"2000","Wayne","420","1270","14","1270","WAYNE","Pennsylvania",14,1270,0,"420","1270",931,1697713.97531393,650373.14996212,"G4201270","4201270",1943867869.9,261762.073442,111.433333333333,123.533333333333,33.5,8311.8,293.1,-70.6,363.533333333333,214.1,-3.5,214.1,-3.5,1253.33333333333,125.533333333333,85.3,12.3,361.466666666667,270.466666666667,361.466666666667,270.466666666667
"15",15,"2000","Harnett","370","0850","47","850","HARNETT","North Carolina",47,850,0,"370","0850",1090,1534834.54884096,-100015.52412767,"G3700850","3700850",1557371624.39,179006.888999,187.238095238095,132.190476190476,39.3333333333333,7269.09523809524,347.095238095238,15.952380952381,331.190476190476,277.047619047619,141.142857142857,279.047619047619,90.5714285714286,1255.80952380952,156.619047619048,63.9523809523809,25.3809523809524,416.238095238095,221.47619047619,415.857142857143,266.47619047619
"16",16,"2000","Barron","550","0050","25","50","BARRON/DALLAS","Wisconsin",25,50,0,"550","0050",1896,324751.42783122,893142.59761328,"G5500050","5500050",2305106414.3,191958.152155,98.6279069767442,128.813953488372,28.046511627907,10860.2790697674,317.813953488372,-133,450.883720930233,215.860465116279,-54.3023255813954,228.697674418605,-54.3023255813954,894.46511627907,118.790697674419,28.0232558139535,40.6744186046512,332.186046511628,97.046511627907,325.93023255814,97.046511627907
"17",17,"2000","Blanco","480","0310","49","310","BLANCO","Texas",49,310,0,"480","0310",1655,-230536.51701471,-804944.42799379,"G4800310","4800310",1847759021.67,176094.468254,219.833333333333,141.041666666667,41.3333333333333,7048.29166666667,379.958333333333,42.0833333333333,337.916666666667,272,141.333333333333,305.916666666667,124.875,785.041666666667,108.333333333333,37.4166666666667,34.2083333333333,256.083333333333,133,224.75,138.291666666667
"18",18,"2000","Franklin","250","0110","3","110","FRANKLIN","Massachusetts",3,110,0,"250","0110",2759,1890396.1208912,803333.20263311,"G2500110","2500110",1877039173.66,252500.588034,113.967741935484,129.451612903226,33.5806451612903,8661.29032258065,305.806451612903,-74.4516129032258,380.193548387097,221.161290322581,127.548387096774,221.161290322581,-5.74193548387097,1341.90322580645,137.064516129032,97.4516129032258,9.87096774193548,380.967741935484,307.354838709677,380.967741935484,320.548387096774
"19",19,"2000","Hand","460","0590","37","590","HAND","South Dakota",37,590,0,"460","0590",2823,-238172.63519951,792284.44161968,"G4600590","4600590",3730089659.42,253292.509828,108.722222222222,142.180555555556,29.5833333333333,11370.6527777778,349.625,-122.611111111111,472.180555555556,183.777777777778,-23.5416666666667,251.416666666667,-44.6527777777778,500.958333333333,77.2083333333333,9.70833333333333,52.5833333333333,204.777777777778,37.2777777777778,176.277777777778,37.7777777777778
"20",20,"2000","Otsego","360","0770","13","770","OTSEGO","New York",13,770,0,"360","0770",2491,1695412.47609164,762772.69937584,"G3600770","3600770",2629077884.25,273752.58533,106.609756097561,122.634146341463,33.0487804878049,8471.36585365854,292.317073170732,-73.1463414634146,365.536585365854,210.439024390244,-10.5853658536585,210.439024390244,-10.5853658536585,1176.75609756098,119.512195121951,74.8048780487805,12.8048780487805,341.560975609756,243.390243902439,341.560975609756,243.390243902439
"21",21,"2000","Carroll","390","0190","24","190","CARROLL","Ohio",24,190,0,"390","0190",1194,1246431.74191297,443099.61306053,"G3900190","3900190",1033420238.2,144108.939181,135.111111111111,125,34.1111111111111,8308.05555555555,316.777777777778,-43.5555555555556,360.388888888889,222.833333333333,22,238.888888888889,22,1054.77777777778,118.277777777778,67.3333333333333,16.8333333333333,305.055555555556,220.055555555556,303.777777777778,220.055555555556
"22",22,"2000","Addison","500","0010","6","10","ADDISON","Vermont",6,10,0,"500","0010",1434,1808438.20130728,949476.38664612,"G5000010","5000010",2093371534.47,224023.719169,106.875,122.1875,31.125,9112.5625,301.90625,-84.34375,386.375,218.34375,-2.09375,218.34375,-19,1091.15625,121.4375,69.65625,15.71875,319.1875,216.875,319.1875,227.78125
"23",23,"2000","Anson","370","0070","47","70","ANSON","North Carolina",47,70,0,"370","0070",2514,1432765.43687344,-162799.67153627,"G3700070","3700070",1391165935.05,175375.133837,190.210526315789,137.157894736842,40.1578947368421,7251.05263157895,353.421052631579,16.8947368421053,336.578947368421,280.052631578947,144.105263157895,282,93.7894736842105,1268.05263157895,152.421052631579,64.9473684210526,24.2105263157895,407.578947368421,229.842105263158,407.105263157895,276.526315789474
"24",24,"2000","Donley","480","1290","49","1290","DONLEY","Texas",49,1290,0,"480","1290",1697,-435759.21731178,-272823.64868046,"G4801290","4801290",2416588347.62,196703.019286,184.171428571429,161.257142857143,39.0285714285714,8654.37142857143,383.428571428571,-24.4285714285714,407.885714285714,273.057142857143,69.4285714285714,293.971428571429,69.4285714285714,529.171428571429,85.0571428571429,11.6857142857143,54,220.342857142857,46.4857142857143,206.485714285714,46.4857142857143
"25",25,"2000","Giles","510","0710","40","710","GILES","Virginia",40,710,0,"510","0710",2659,1337061.64918206,86997.24850125,"G5100710","5100710",933430942.273,157449.55852,139.8125,136.6875,39.625,7327.1875,307.5625,-32.5625,340.0625,224.6875,77.5625,231.6875,40.875,1068.9375,114.875,70.3125,15.3125,312.5,218.125,308.875,222.0625
"26",26,"2000","Morehouse","220","0670","45","670","MOREHOUSE","Louisiana",45,670,0,"220","0670",239,390649.74593003,-514902.72167004,"G2200670","2200670",2085472779.07,264600.118644,212.481481481481,134.888888888889,37.6666666666667,7907.22222222222,385.666666666667,32.6666666666667,352.888888888889,107.777777777778,269.777777777778,312.814814814815,107.777777777778,1300.48148148148,144.962962962963,68.1851851851852,19.6666666666667,380.481481481481,239.592592592593,276.037037037037,380.481481481481
"27",27,"2000","New Haven","090","0090","1","90","NEW HAVEN","Connecticut",1,90,0,"090","0090",271,1894967.36044423,669317.85178985,"G0900090","0900090",1603794383.32,331333.077881,138,112.185185185185,31.9259259259259,8153.92592592593,313.925925925926,-31.037037037037,344.888888888889,241.148148148148,153.740740740741,241.148148148148,29,1381.33333333333,142.037037037037,101.037037037037,9.22222222222222,375.333333333333,321.111111111111,375.333333333333,331.148148148148
"28",28,"2000","Johnson","290","1010","34","1010","JOHNSON","Missouri",34,1010,0,"290","1010",2343,188867.71702146,141623.27950967,"G2901010","2901010",2157530115.11,191563.679105,160.931034482759,131.620689655172,32.0689655172414,9274.62068965517,360,-43.9310344827586,403.965517241379,213.586206896552,35.6551724137931,277.137931034483,35.6551724137931,1012.37931034483,123.48275862069,39.7241379310345,33.2758620689655,337,134.655172413793,299.620689655172,134.655172413793
"29",29,"2000","Monroe","420","0890","14","890","MONROE","Pennsylvania",14,890,0,"420","0890",3025,1709048.05502536,585222.25673563,"G4200890","4200890",1599106256.12,198679.767114,120.185185185185,123.407407407407,33.7777777777778,8240.25925925926,303.037037037037,-57.4444444444444,360.481481481481,223.62962962963,25.2222222222222,223.62962962963,8.03703703703704,1341.77777777778,134.333333333333,89.037037037037,12.8518518518519,388.111111111111,289.740740740741,388.111111111111,290
"30",30,"2000","Stephens","130","2570","44","2570","STEPHENS","Georgia",44,2570,0,"130","2570",3057,1153389.82247961,-252658.27213369,"G1302570","1302570",477156641.965,98617.8932658,181.833333333333,136.833333333333,41.3333333333333,6954.66666666667,341.333333333333,13.6666666666667,327.166666666667,105.166666666667,137.166666666667,269.333333333333,89.6666666666667,1548,180.333333333333,96.5,16.5,451.833333333333,319.5,396.5,394
"31",31,"2000","Clark","320","0030","65","30","CLARK","Nevada",65,30,0,"320","0030",2649,-1683061.49936795,24806.16862756,"G3200030","3200030",20954421480,736620.44901,197.137583892617,152.956375838926,39.0906040268456,8633.28187919463,400.89932885906,14.8489932885906,386.023489932886,250.372483221477,233.832214765101,309.01677852349,90.7181208053691,153.077181208054,23.7818791946309,3.6241610738255,43.0570469798658,54.5536912751678,15.6342281879195,44.2852348993289,48.261744966443
"32",32,"2000","Dakota","270","0370","33","370","DAKOTA","Minnesota",33,370,0,"270","0370",2094,232161.74002719,805961.6620859,"G2700370","2700370",1518576266.24,188146.389464,112.363636363636,119.181818181818,26.5454545454545,10972.8636363636,328.181818181818,-114.363636363636,442.590909090909,244.954545454545,-41.1818181818182,244.954545454545,-41.1818181818182,835,107.409090909091,23.1818181818182,40.4090909090909,307.772727272727,86.0454545454545,307.772727272727,86.0454545454545
"33",33,"2000","Cameron","480","0610","49","610","CAMERON","Texas",49,610,0,"480","0610",1668,-154484.60643559,-1263666.83043746,"G4800610","4800610",2467719069.59,832884.623149,255.129032258065,99.8387096774194,40.6451612903226,4995.06451612903,364.903225806452,122.516129032258,242.451612903226,292.677419354839,225.870967741935,313.258064516129,185.516129032258,621.645161290323,122.645161290323,18.7096774193548,50.9354838709677,264.774193548387,89.3225806451613,177.58064516129,109.193548387097
"34",34,"2000","Deuel","460","0390","37","390","DEUEL","South Dakota",37,390,0,"460","0390",1997,-52790.92039161,812384.60117709,"G4600390","4600390",1649071615.37,164994.80291,101.966666666667,127.766666666667,27.1,11396.0333333333,331.733333333333,-130.833333333333,462.6,218.933333333333,-54.8666666666667,242.1,-54.8666666666667,650.866666666667,85.5333333333333,15.9333333333333,47.4333333333333,253.366666666667,53.5,243.933333333333,53.5
"35",35,"2000","Chelan","530","0070","73","70","CHELAN","Washington",73,70,0,"530","0070",1815,-1835492.19956289,1395827.39998288,"G5300070","5300070",7753403683,553279.298167,69.1544117647059,113.654411764706,33.8897058823529,7492.55147058824,260.602941176471,-69.2941176470588,329.867647058824,-15.8308823529412,166.551470588235,167.617647058824,-22.8014705882353,1039.22794117647,185.088235294118,18.2352941176471,67.2132352941177,540.875,85.9485294117647,88.4705882352941,479.338235294118
"36",36,"2000","Benton","530","0050","73","50","BENTON","Washington",73,50,0,"530","0050",1814,-1798783.78412299,1200248.92237312,"G5300050","5300050",4558621056.99,304119.054746,135.534246575342,133.534246575342,37.3835616438356,7838.41095890411,340.712328767123,-11.3013698630137,352.027397260274,44.6849315068493,234.520547945205,238.383561643836,37.8219178082192,234.013698630137,36.7534246575342,4.79452054794521,48.8767123287671,104.821917808219,24.8082191780822,27.8356164383562,91.1369863013699
"37",37,"2000","Richland","220","0830","45","830","RICHLAND","Louisiana",45,830,0,"220","0830",75,396184.62159514,-559607.53263562,"G2200830","2200830",1462082498.41,266957.013824,217.25,132.35,37.9,7741.25,386.45,42.25,344.1,115.1,272.95,315.5,115.1,1293.5,147.65,65.5,20.9,385.6,233.75,272.95,385.6
"38",38,"2000","St Clair","010","1150","41","1150","ST CLAIR","Alabama",41,1150,0,"010","1150",491,889767.20204423,-378211.29150643,"G0101150","0101150",1692864873.74,248502.128731,189.56,140.52,41.16,7222.16,352,15.08,337.04,110.56,226.08,280.24,93.4,1423.68,171.72,64.88,20.88,426,282.28,337,371.52
"39",39,"2000","Transylvania","370","1750","47","1750","TRANSYLVANIA","North Carolina",47,1750,0,"370","1750",1130,1187999.6332743,-174721.03803716,"G3701750","3701750",985649293.611,164822.055274,150.266666666667,136.866666666667,41.8,6759.2,305.533333333333,-17.3333333333333,322.8,219.333333333333,107.666666666667,235.2,60.3333333333333,1918.73333333333,204.8,129.266666666667,13.3333333333333,523.733333333333,422.466666666667,511.933333333333,445
"40",40,"2000","Winona","270","1690","33","1690","WINONA","Minnesota",33,1690,0,"270","1690",2225,337284.71743876,733559.05049068,"G2701690","2701690",1661693826.49,184712.255501,110.407407407407,123.259259259259,27.8518518518519,10502.2222222222,322.740740740741,-111.592592592593,434.185185185185,224.592592592593,-37.4814814814815,238.037037037037,-37.4814814814815,881.111111111111,112.814814814815,24.2592592592593,40.5185185185185,327.333333333333,92.3333333333333,313.555555555556,92.3333333333333
"41",41,"2000","Douglas","130","0970","44","970","DOUGLAS","Georgia",44,970,0,"130","0970",1270,1031463.05849525,-364134.44594233,"G1300970","1300970",518665110.411,104435.243055,185.625,134.375,40.5,7093.125,343.5,16.125,327.5,107.75,139.375,274.875,91.625,1381.375,165.625,72.875,20,415.375,268.75,346.875,358.25
"42",42,"2000","Traill","380","0970","36","970","TRAILL","North Dakota",36,970,0,"380","0970",1182,-88138.1394313,1111639.81452647,"G3800970","3800970",2233905378.65,244324.781008,85.3947368421053,124.605263157895,25.2631578947368,12164.8684210526,324.315789473684,-158.315789473684,482.605263157895,226.789473684211,-80.4210526315789,233.526315789474,-80.4210526315789,548.842105263158,82.6842105263158,15.5526315789474,49.3157894736842,217.473684210526,50.9473684210526,217.131578947368,50.9473684210526
"43",43,"2000","Sanborn","460","1110","37","1110","SANBORN","South Dakota",37,1110,0,"460","1110",2029,-167063.04300176,731976.93949483,"G4601110","4601110",1476819748.79,154009.57937,117.333333333333,136.375,28.875,11317.2083333333,351.166666666667,-114.375,465.583333333333,184.458333333333,-36.4583333333333,258.625,-36.4583333333333,572.541666666667,87.9583333333333,11.8333333333333,48.75,227.916666666667,47.4166666666667,187.083333333333,47.4166666666667
"44",44,"2000","Mccurtain","400","0890","53","890","MCCURTAIN","Oklahoma",53,890,0,"400","0890",687,112516.91425452,-378227.78309038,"G4000890","4000890",4924451701.16,415432.098629,203.117647058824,146.264705882353,37.1617647058824,8395.14705882353,395.735294117647,7.94117647058824,387.867647058824,201.382352941176,176.294117647059,309.764705882353,91.5294117647059,1198.04411764706,144.058823529412,71.9264705882353,19.8970588235294,371.352941176471,257.132352941176,263.955882352941,259.823529411765
"45",45,"2000","Murray","400","0990","53","990","MURRAY","Oklahoma",53,990,0,"400","0990",691,-97318.85507447,-337345.07765989,"G4000990","4000990",1100570410.31,179956.446204,198.615384615385,138.307692307692,34.6923076923077,8775.92307692308,388.923076923077,-2.53846153846154,391.615384615385,245.769230769231,83,310.769230769231,83,886,125.461538461538,38.3076923076923,33.9230769230769,306.153846153846,131,215,131
"46",46,"2000","Elk","420","0470","14","470","ELK","Pennsylvania",14,470,0,"420","0470",1482,1431161.31674348,570823.15455404,"G4200470","4200470",2155462227.45,241691.128518,110.909090909091,128.030303030303,34.969696969697,8140.84848484848,294.848484848485,-66.4545454545455,361.242424242424,211.272727272727,-1.78787878787879,211.272727272727,-1.78787878787879,1241.51515151515,130.333333333333,81.7272727272727,13.7272727272727,364.515151515152,260.727272727273,364.515151515152,260.727272727273
"47",47,"2000","Coahoma","280","0270","46","270","COAHOMA","Mississippi",46,270,0,"280","0270",2239,493174.87893289,-352198.08721433,"G2800270","2800270",1510341147.1,253770.682291,200.333333333333,125.291666666667,35.3333333333333,8009.45833333333,371.583333333333,22.25,349.416666666667,201.916666666667,256.5,300.625,92.9583333333333,1312.54166666667,141.75,62.7083333333333,22.875,412.625,233.291666666667,261.5,365.75
"48",48,"2000","Itasca","270","0610","33","610","ITASCA","Minnesota",33,610,0,"270","0610",2104,179572.56324092,1119408.99849975,"G2700610","2700610",7582684452.44,436751.388649,72.9236641221374,130.229007633588,27.0763358778626,11537.9541984733,298.625954198473,-173.12213740458,471.702290076336,210.854961832061,-87.9083969465649,210.854961832061,-87.9083969465649,727.587786259542,107.931297709924,17.9541984732824,47.4503816793893,295.717557251908,72.6564885496183,295.717557251908,72.6564885496183
"49",49,"2000","Lincoln","350","0270","66","270","LINCOLN","New Mexico",66,270,0,"350","0270",2441,-868777.97136678,-377045.24140408,"G3500270","3500270",12513041557.6,546233.88577,153.506097560976,182.396341463415,47.0426829268293,7560.10975609756,345.042682926829,-38.7439024390244,383.798780487805,240.237804878049,88.8841463414634,250.475609756098,56.9756097560976,324.170731707317,70.0609756097561,9.23170731707317,69.7743902439024,173.006097560976,34.7317073170732,160.170731707317,43.7073170731707
"50",50,"2000","Rice","200","1590","32","1590","RICE","Kansas",32,1590,0,"200","1590",1068,-190538.90595817,97147.33812239,"G2001590","2001590",1886279046.54,178245.246447,165.321428571429,144.357142857143,33.3214285714286,9769.42857142857,379.25,-47.3571428571429,426.678571428571,265.071428571429,36.4642857142857,290.678571428571,36.4642857142857,688.571428571429,91.4642857142857,13.4642857142857,44.1785714285714,258.464285714286,67.6428571428571,247.571428571429,67.6428571428571
"51",51,"2000","Meriwether","130","1990","44","1990","MERIWETHER","Georgia",44,1990,0,"130","1990",1314,1047487.6411628,-436548.77783149,"G1301990","1301990",1308846232.2,164415.420755,195.05,140.95,42.9,6802.7,349.95,24.7,325.15,120.05,200.05,279.9,104,1341.95,166.95,68.75,21.6,409.7,254.55,346.05,355.15
"52",52,"2000","Bailey","480","0170","49","170","BAILEY","Texas",49,170,0,"480","0170",1649,-625167.33232412,-361695.22070575,"G4800170","4800170",2142923848.22,187950.874375,173.361111111111,177.638888888889,43.9166666666667,8132.05555555556,366.055555555556,-34.1944444444444,400.194444444444,276.305555555556,84.4722222222222,276.305555555556,66.75,416.333333333333,66.75,10.2222222222222,60.9444444444444,193.277777777778,33.8055555555556,193.277777777778,37.1944444444444
"53",53,"2000","Kane","490","0250","67","250","KANE","Utah",67,250,0,"490","0250",1419,-1388859.92123874,92414.8225844,"G4900250","4900250",10640968206.5,556518.303716,137.625,166.467105263158,41.625,8348.17763157895,348.657894736842,-46.6513157894737,395.388157894737,226.986842105263,174.486842105263,246.328947368421,34.3881578947368,253.934210526316,36.5855263157895,8.03947368421053,37.4539473684211,92.0263157894737,30.4605263157895,73.4934210526316,71.125
"54",54,"2000","Bennett","460","0070","37","70","BENNETT","South Dakota",37,70,0,"460","0070",1983,-457715.62174534,651336.13348191,"G4600070","4600070",3083601880.51,230071.07742,120.08,158.34,35.1,10072.18,355.96,-88.38,444.42,222.24,6.92,251.48,-10.12,441.1,72.74,9.02,57.7,202.3,33.04,170.84,34.52
"55",55,"2000","Edwards","200","0470","32","470","EDWARDS","Kansas",32,470,0,"200","0470",1020,-288456.22165664,48465.73183668,"G2000470","2000470",1611232185.4,176921.024284,165.75,152.958333333333,35.125,9642.04166666667,381.041666666667,-47.6666666666667,428.75,264.75,39.75,290.041666666667,39.75,595.75,80.3333333333333,12.125,46.25,233.291666666667,59.625,231.291666666667,59.625
"56",56,"2000","Williams","390","1710","24","1710","WILLIAMS","Ohio",24,1710,0,"390","1710",2892,942448.75719114,511580.76296033,"G3901710","3901710",1095695047.02,137945.211648,129.875,123.875,32,8941.125,323.375,-56.125,379.6875,152.625,8.4375,241.875,8.4375,937.9375,100.9375,55.875,15.8125,261.25,192.0625,259.125,192.0625
"57",57,"2000","Logan","540","0450","56","450","LOGAN","West Virginia",56,450,0,"540","0450",1865,1221695.9448223,127720.7800352,"G5400450","5400450",1180026870.14,232399.72744,150.444444444444,138.166666666667,38.9444444444444,7684.83333333333,321.944444444444,-26.8333333333333,348.722222222222,226.944444444444,103.666666666667,246.277777777778,46.4444444444444,1282.44444444444,137.388888888889,76.7777777777778,13.7777777777778,367.222222222222,272.5,365.333333333333,289.888888888889
"58",58,"2000","Union","190","1750","31","1750","UNION","Iowa",31,1750,0,"190","1750",990,146595.29584629,396657.67552366,"G1901750","1901750",1103209915.62,134122.416282,137.555555555556,127.111111111111,30,10053.8888888889,345.111111111111,-73.6111111111111,418.722222222222,247.222222222222,-1.55555555555556,262.222222222222,-1.55555555555556,861.555555555556,112.722222222222,25,39.5,294.777777777778,94.6666666666667,284.833333333333,94.6666666666667
"59",59,"2000","Plaquemines","220","0750","45","750","PLAQUEMINES","Louisiana",45,750,0,"220","0750",3075,617231.06788199,-877116.12790352,"G2200750","2200750",2832160549.77,3332273.67862,229.75,88.325,34.975,5708.525,343.05,94.875,248.15,294.05,228.65,297.375,151.85,1509.6,185.8,74.8,25.575,520.5,293.075,438.025,372.15
"60",60,"2000","Pawnee","310","1330","35","1330","PAWNEE","Nebraska",35,1330,0,"310","1330",2624,-20019.82015909,294942.47072446,"G3101330","3101330",1121332174.75,135065.743111,150.222222222222,138.388888888889,32,9934.72222222222,363.055555555556,-63.3888888888889,426.5,264.166666666667,16.8888888888889,276.388888888889,16.8888888888889,813.444444444444,108.388888888889,21.6111111111111,43.5555555555556,290.388888888889,84.7222222222222,285.833333333333,84.7222222222222
"61",61,"2000","Delaware","400","0410","53","410","DELAWARE","Oklahoma",53,410,0,"400","0410",667,106394.11517628,-121681.46353155,"G4000410","4000410",2052125471.64,189012.56724,184.7,137.933333333333,34.9666666666667,8498.3,375.4,-13.4666666666667,388.9,231.4,70.8,291.8,70.8,1122.83333333333,131.166666666667,54.0333333333333,25.9666666666667,342.166666666667,183.4,295.366666666667,183.433333333333
"62",62,"2000","Jackson","470","0870","54","870","JACKSON","Tennessee",54,870,0,"470","0870",1527,916419.0136712,-77981.0075928,"G4700870","4700870",827647012.839,142821.712868,172.090909090909,140.454545454545,38.9090909090909,7698.90909090909,344.545454545455,-11,355.545454545455,173.090909090909,228,268,67.8181818181818,1421.63636363636,157.272727272727,72.1818181818182,16.2727272727273,401.181818181818,285.636363636364,346.454545454545,373.272727272727
"63",63,"2000","Nolan","480","3530","49","3530","NOLAN","Texas",49,3530,0,"480","3530",1575,-412640.58953588,-571621.13796838,"G4803530","4803530",2367098553.8,194413.154245,205.5,148.4,39.9,7864.03333333333,376.466666666667,9.83333333333333,366.433333333333,291.133333333333,98.8666666666667,302.633333333333,98.8666666666667,598.266666666667,82.8333333333333,19.6,45.6333333333333,223.1,71.0666666666667,212.8,71.0666666666667
