state,county,fips,pop2012,yieldchange,mortchange,energychange,laborlowchange,laborhighchange,coastaldamage,crimepropertychange,crimeviolentchange,totaldamage
AL,Randolph County,1111,22657,-52.63877106,19.41705704,11.09739017,-0.1898124814,-1.473138094,-1.968694568,0.4281868041,2.942321777,8.553999901
AL,Russell County,1113,57736,-8.77803421,39.31985855,12.05603409,-0.4924306571,-2.032170296,-1.960881948,0.06505966932,2.427945614,15.28899956
AL,St. Clair County,1115,85165,,20.34187698,11.87521172,-0.4268268049,-1.929721355,-2.004939556,0.2147334069,2.610029221,8.965100288
AL,Shelby County,1117,200960,-9.759537697,17.68922806,12.19668007,-0.4358288944,-1.915668726,-2.15619421,0.2068766654,2.578483582,5.631899834
AL,Sumter County,1119,13411,-59.88533783,34.17708588,11.9781971,-0.5164163113,-2.083043337,-1.96343863,0.08480033278,2.424499035,13.57499981
AL,Talladega County,1121,81858,-21.95863152,23.72070694,11.87521172,-0.4268268049,-1.929721355,-1.977724671,0.1920469403,2.604513884,10.09300041
AL,Tallapoosa County,1123,41156,2.044188976,30.97091866,11.641222,-0.3970654905,-1.879174232,-2.035200834,0.1960877031,2.583214521,11.56599998
AL,Tuscaloosa County,1125,198640,-35.39926529,29.45314598,12.46886444,-0.5462639332,-2.122487545,-2.041713476,0.02234861627,2.340049505,10.54599953
AL,Walker County,1127,66125,,36.41363907,12.02554226,-0.4400838912,-1.903071642,-2.05934906,0.1988006532,2.585908175,11.75399971
AL,Washington County,1129,17088,-17.74577904,31.80301285,12.06669998,-0.3788057268,-1.937922955,-0.6170678735,0.1548878551,2.502126932,11.70499992
AL,Wilcox County,1131,11386,-18.60801125,36.87494278,12.16900063,-0.4695616663,-2.082331896,-1.91805315,0.1175415367,2.459612846,16.65999985
AL,Winston County,1133,24185,,36.009655,12.69376278,-0.4610772729,-1.963702679,-1.954395056,0.2247866243,2.578812599,14.71199989
AK,Aleutians East Borough,2013,3320,,-10.96939182,-3.27126193,0.08026690036,-0.06433211267,,2.880043745,3.554442167,-3.370699883
AK,Aleutians West Census Area,2016,5671,,-15.95284939,-4.302030563,0.07069563121,-0.3036722839,,4.36045599,5.00464344,-2.614200115
AK,Anchorage Municipality,2020,298630,,-19.01229858,-3.098827839,-0.08785214275,-0.3597227335,,3.092337132,4.645769119,-2.566900015
AK,Bethel Census Area,2050,17687,,-25.6433239,-4.042944431,-0.1647334248,-0.4940902889,,3.899687052,4.521978855,-6.503900051
AK,Bristol Bay Borough,2060,984,,-24.17383194,-3.507816315,-0.06974419206,-0.20775415,,2.793152571,4.075349331,-4.231800079
AK,Denali Borough,2068,1906,,-10.95755672,-2.898090363,-0.1199229136,-0.5154931545,,3.487024307,4.942640781,-1.571200013
AK,Dillingham Census Area,2070,4968,,-24.44576645,-3.507816315,-0.06974419206,-0.20775415,,2.777300358,4.0806036,-4.865499973
AK,Fairbanks North Star Borough,2090,100230,,-12.50799179,-2.700377703,-0.1421288103,-0.5026708841,,3.094101191,3.875946999,-1.960500002
AK,Haines Borough,2100,2572,,-22.32201385,-3.029932499,0.002201019088,-0.04549368098,,2.341918707,4.232867718,-2.770699978
AK,Hoonah-Angoon Census Area,2105,2141,,-26.4390049,-3.029932499,0.002201019088,-0.04549368098,,2.341918707,4.232867718,-5.011300087
AK,Juneau City and Borough,2110,32411,,-14.79357624,-3.029932499,0.002201019088,-0.04549368098,,2.341918707,4.232867718,-2.501899958
AK,Kenai Peninsula Borough,2122,56958,,-25.08424377,-3.147944927,-0.01622044668,-0.3122772872,,2.924117088,4.484535694,-4.114299774
AK,Ketchikan Gateway Borough,2130,13709,,-18.97030449,-2.306812763,-0.02849340811,0.3417419195,,1.495034456,3.344663382,-3.11590004
AK,Kodiak Island Borough,2150,14075,,-15.83938599,-3.294948816,0.01221886277,0.05953590944,,2.425363302,3.731735706,-2.854099989
AK,Lake and Peninsula Borough,2164,1643,,-35.80309677,-3.507816315,-0.06974419206,-0.20775415,,2.793152571,4.075349331,-7.23239994
AK,Matanuska-Susitna Borough,2170,93798,,-21.41337204,-2.898090363,-0.1199229136,-0.5154931545,,3.487024307,4.942640781,-4.208899975
AK,Nome Census Area,2180,9873,,-38.21257401,-5.007131577,-0.2463158369,-0.711381197,,5.566915989,4.871507645,-8.283699989
AK,North Slope Borough,2185,9655,,-17.20585823,-3.539851665,-0.1617457271,-0.55658108,,3.780638695,3.948359013,-4.411399841
AK,Northwest Arctic Borough,2188,7709,,-31.5844326,-5.007131577,-0.2463158369,-0.711381197,,5.566915989,4.871507645,-7.184700012
AK,Petersburg Census Area,2195,3853,,-24.43441582,-2.617942572,0.02018893324,0.1708266586,,1.831612945,3.669185162,-4.023300171
AK,Prince of Wales-Hyder Census Area,2198,5774,,-24.43441582,-2.617942572,0.02018893324,0.1708266586,,1.831612945,3.669185162,-5.910200119
AK,Sitka City and Borough,2220,9060,,-19.20781326,-2.833834648,-0.001037258538,0.3853547871,,1.707927465,3.238421202,-3.318599939
AK,Skagway Municipality,2230,994,,-26.4390049,-3.029932499,0.002201019088,-0.04549368098,,2.341918707,4.232867718,-3.111000061
AK,Southeast Fairbanks Census Area,2240,7149,,-15.71066475,-3.271659136,-0.120765999,-0.4308603108,,2.592035055,3.371001482,-3.460400105
AK,Valdez-Cordova Census Area,2261,9736,,-17.16183281,-3.475496292,-0.09768673778,-0.306665957,,2.692560673,3.78957653,-2.640300035
AK,Wade Hampton Census Area,2270,7795,,-28.99326134,-4.042944431,-0.1647334248,-0.4940902889,,3.899687052,4.521978855,-9.866200447
AK,Wrangell City and Borough,2275,2398,,-24.43441582,-2.617942572,0.02018893324,0.1708266586,,1.831612945,3.669185162,-4.850800037
AK,Yakutat City and Borough,2282,651,,-21.18337059,-3.34040904,-0.009012020193,0.06514556706,,2.309956789,3.963971615,-4.474199772
AK,Yukon-Koyukuk Census Area,2290,5731,,-27.06477928,-3.505564213,-0.1512380838,-0.5695067644,,3.604314566,4.004961967,-4.320400238
AZ,Apache County,4001,72911,,-8.106179237,2.466659307,-0.2629253864,-1.562131286,,0.8161609769,3.541383028,-0.1105699986
AZ,Cochise County,4003,131920,-19.61694908,25.08315849,16.09850502,-0.5490288734,-2.319714546,,0.0581856817,2.887948751,8.522100449
AZ,Coconino County,4005,135950,,-6.908559322,0.4630955756,-0.1203441247,-1.056715012,,0.935028851,3.550925493,-0.2653299868
AZ,Gila County,4007,53027,,47.16389465,16.88010979,-0.438110292,-1.715575457,,-0.09483535588,2.034228325,15.13899994
AZ,Graham County,4009,36945,-46.37860107,25.16346931,13.3472805,-0.5891488791,-2.28096652,,-0.1628235579,2.27041316,11.28999996
AZ,Greenlee County,4011,8775,,2.811711788,7.792053223,-0.5046237111,-2.200202942,,0.1410691291,3.072392702,3.541500092
AZ,La Paz County,4012,20289,-33.58069611,34.56888962,17.9128418,-0.2953120768,-1.430560112,,-0.05447084829,1.79525423,12.59200001
AZ,Maricopa County,4013,3942900,-50.96146393,27.45408821,18.55491066,-0.3231607378,-1.599049091,,-0.1206834763,1.800856352,7.761799812
AZ,Mohave County,4015,203170,-69.7159729,41.22257233,16.42143631,-0.3539326489,-1.478878975,,-0.02494242787,1.95225656,16.9489994
AZ,Navajo County,4017,106970,,5.925505638,10.30636024,-0.4920701087,-1.987160921,,0.3209802806,2.988331079,5.611899853
AZ,Pima County,4019,993090,-32.78178787,31.3059864,13.61440086,-0.5492655039,-2.274718046,,-0.2092453241,2.202141047,9.580200195
AZ,Pinal County,4021,388110,-50.66027069,26.89216042,17.24059486,-0.3301151991,-1.567158818,,-0.1136570945,1.786964774,12.21399975
AZ,Santa Cruz County,4023,47433,,10.82183456,11.45577908,-0.6029516459,-2.484504223,,-0.1138874814,2.590560675,7.189099789
AZ,Yavapai County,4025,212510,,5.517410278,10.18120956,-0.3446781635,-1.598870158,,0.4194588959,3.208229542,4.104499817
AZ,Yuma County,4027,202260,2.255764484,22.98869705,17.66699791,-0.2910777032,-1.482133865,,-0.1219942346,1.692945242,9.457799911
AR,Arkansas County,5001,18994,-41.80132294,38.32194138,14.10312462,-0.4734587073,-2.02963233,,0.2043646127,2.533731222,10.45899963
AR,Ashley County,5003,21497,-25.34241486,32.38134384,13.41314125,-0.4672009647,-2.051691771,,0.1391410828,2.482528448,11.11999989
AR,Baxter County,5005,41077,,25.37678719,14.0392704,-0.3492620587,-1.803219199,,0.4121210873,2.88319993,9.387599945
AR,Benton County,5007,232740,,15.77940369,14.80624199,-0.3625283539,-1.759477258,,0.3991203308,2.906920433,3.409300089
AR,Boone County,5009,37333,,14.24389553,12.71448326,-0.2535291016,-1.555006742,,0.6362568736,3.194043875,6.56069994
AR,Bradley County,5011,11298,,38.60796738,13.79749584,-0.4318366647,-1.994744778,,0.1912528127,2.600530386,14.36200047
AR,Calhoun County,5013,5299,,27.14450836,13.47035599,-0.406221658,-1.905564547,,0.21022439,2.625678539,11.97900009
AR,Carroll County,5015,27598,,20.31584358,14.32524586,-0.2459923029,-1.515069008,,0.592689395,3.208115339,9.331199646
AR,Chicot County,5017,11458,-48.2064209,48.84508896,14.63288784,-0.5404192805,-2.18654871,,-0.05013355613,2.159489155,14.63799953
AR,Clark County,5019,22822,-45.77814865,28.85783005,14.16089821,-0.4231733978,-1.978035569,,0.2113142312,2.60777998,11.75800037
AR,Clay County,5021,15580,-37.12250137,33.59759521,13.77161789,-0.3624024689,-1.857004523,,0.4400975406,2.815788746,10.84000015
AR,Cleburne County,5023,25778,,27.6683979,13.46817493,-0.358408004,-1.779642224,,0.3693502545,2.844544649,9.860600471
AR,Cleveland County,5025,8615,,26.02311134,13.47035599,-0.406221658,-1.905564547,,0.21022439,2.625678539,11.02499962
AR,Columbia County,5027,24401,,37.14305878,14.13312817,-0.450632602,-2.042071104,,0.1423063278,2.52325058,12.53999996
AR,Conway County,5029,21216,-41.00072098,32.31275177,14.77643967,-0.4510628879,-1.979927659,,0.1818324029,2.556015015,10.58600044
AR,Craighead County,5031,99903,-21.88173103,20.53774834,13.72935581,-0.3894634247,-1.870157003,,0.3851063848,2.723473787,7.352200031
AR,Crawford County,5033,61933,-43.68476105,26.13498116,14.11361885,-0.4220762849,-1.910259843,,0.2447023094,2.613699675,9.866700172
AR,Crittenden County,5035,50070,-37.63996887,28.42947197,13.84214497,-0.4219081402,-1.978905201,,0.3208970726,2.657212019,10.3409996
AR,Cross County,5037,17654,-43.30231857,27.49429131,14.13054657,-0.3796121776,-1.889305234,,0.3828954101,2.747977257,9.238900185
AR,Dallas County,5039,7965,,34.39011383,13.47035599,-0.406221658,-1.905564547,,0.21022439,2.625678539,14.07699966
AR,Desha County,5041,12574,-33.34620667,38.26024246,14.27554226,-0.479459852,-2.09906745,,0.1814817488,2.494676352,11.12800026
AR,Drew County,5043,18775,-32.57869339,32.56195831,14.46633625,-0.4794685841,-2.099453449,,0.140847221,2.492364407,10.80900002
AR,Faulkner County,5045,118530,-39.34768295,21.76417542,14.82399368,-0.4227984548,-1.904397607,,0.2651683688,2.642404318,7.83920002
AR,Franklin County,5047,17942,-50.90269852,28.7642498,14.29493713,-0.3910271227,-1.798901916,,0.311681211,2.683644056,11.72399998
AR,Fulton County,5049,12241,,21.38822746,13.13780403,-0.30720976,-1.726849437,,0.4869582951,2.971189022,10.86400032
AR,Garland County,5051,96837,,38.55040359,14.49120522,-0.4103432894,-1.806627274,,0.2298872173,2.611828804,12.10999966
AR,Grant County,5053,18035,,26.49815178,13.79138851,-0.4486904442,-2.027049065,,0.1755818874,2.554134607,10.20100021
AR,Greene County,5055,43158,-35.00908661,25.89059639,13.79319859,-0.3449571431,-1.859545588,,0.4591751695,2.810594797,9.947899818
AR,Hempstead County,5057,22325,,32.16854477,14.3086462,-0.472004354,-2.021302462,,0.1204961762,2.494516373,13.04500008
AR,Hot Spring County,5059,33386,-54.36476898,30.28637123,14.49120522,-0.4103432894,-1.806627274,,0.2298872173,2.611828804,13.55200005
AR,Howard County,5061,13710,,41.08601379,14.6634531,-0.4781219959,-2.010492325,,0.09397123754,2.483387232,16.52499962
AR,Independence County,5063,36905,-34.72615051,19.98897934,13.45152855,-0.2945245206,-1.670988798,,0.5166393518,2.968631268,7.512700081
AR,Izard County,5065,13506,,21.89503288,14.0392704,-0.3492620587,-1.803219199,,0.4095476568,2.880213261,10.78999996
AR,Jackson County,5067,17640,-45.71405411,33.21910477,13.8829689,-0.3640013635,-1.814954162,,0.4150875211,2.774690866,12.69900036
AR,Jefferson County,5069,74580,-31.37799263,32.41924667,14.5412426,-0.3854662478,-1.997072101,,0.2792181671,2.752951622,11.90200043
AR,Johnson County,5071,25864,-40.75830078,26.19462204,14.29493713,-0.3910271227,-1.798901916,,0.3263454437,2.667665958,12.01599979
AR,Lafayette County,5073,7431,-27.62335396,41.66806793,14.13312817,-0.450632602,-2.042071104,,0.1423063278,2.52325058,13.53899956
AR,Lawrence County,5075,17039,-41.54811859,30.44981575,13.46809578,-0.3541926146,-1.813315868,,0.4226965308,2.8169384,11.35599995
AR,Lee County,5077,10190,-34.16563797,34.79821777,14.29282093,-0.437199086,-2.006019354,,0.2759480476,2.602822065,13.29500008
AR,Lincoln County,5079,14149,-31.31304169,28.93622208,14.53474331,-0.4768832624,-2.100331783,,0.1730099022,2.523994684,13.93799973
AR,Little River County,5081,12905,-32.61012268,41.30897903,14.33757687,-0.4695529938,-2.016743422,,0.1090734228,2.518376589,14.29100037
AR,Logan County,5083,22005,-40.47621155,31.25371552,14.29493713,-0.3910271227,-1.798901916,,0.3263454437,2.667665958,11.13899994
AR,Lonoke County,5085,70087,-34.14754868,25.25897789,14.5412426,-0.3854662478,-1.997072101,,0.2859744728,2.750555754,8.718500137
AR,Madison County,5087,15636,,20.73687744,14.32524586,-0.2459923029,-1.515069008,,0.5958892107,3.186146736,9.079799652
AR,Marion County,5089,16595,,15.08390903,12.71448326,-0.2535291016,-1.555006742,,0.6537098289,3.169329166,8.270000458
AR,Miller County,5091,43617,-46.46486664,32.11199951,14.33757687,-0.4695529938,-2.016743422,,0.10252399,2.517829657,11.24300003
AR,Mississippi County,5093,45550,-30.17613792,32.80543137,14.05086517,-0.417871505,-1.960764527,,0.3582070172,2.621170759,11.76900005
AR,Monroe County,5095,7840,-40.7701683,40.71422958,14.10312462,-0.4734587073,-2.02963233,,0.2228344083,2.515690327,12.79699993
AR,Montgomery County,5097,9315,,24.4081974,13.95958328,-0.3360030651,-1.763418198,,0.3485589623,2.869303703,12.08199978
AR,Nevada County,5099,8903,,33.74519348,14.16089821,-0.4231733978,-1.978035569,,0.2113142312,2.60777998,12.24400043
AR,Newton County,5101,8084,,10.42404842,12.03634548,-0.1085133776,-0.919124186,,0.9212438464,3.520869732,5.875999928
AR,Ouachita County,5103,25411,,41.01185226,13.65546894,-0.4627668262,-2.072002411,,0.09410763532,2.430415392,14.29699993
AR,Perry County,5105,10326,-26.71755791,25.57826805,13.72747612,-0.3167524338,-1.733893871,,0.3778190315,2.856510878,9.037199974
AR,Phillips County,5107,20772,-36.39955139,38.87149429,14.29282093,-0.437199086,-2.006019354,,0.2759480476,2.602822065,14.38500023
AR,Pike County,5109,11266,,40.11146545,14.6634531,-0.4781219959,-2.010492325,,0.1004585251,2.481746197,16.62899971
AR,Poinsett County,5111,24325,-29.5816555,28.88057518,13.72935581,-0.3894634247,-1.870157003,,0.3851063848,2.723473787,11.46199989
AR,Polk County,5113,20440,,28.34333992,14.54590702,-0.4092515111,-1.899355888,,0.2926347554,2.751923323,13.47099972
AR,Pope County,5115,62717,-38.45758057,25.45489311,14.77643967,-0.4510628879,-1.979927659,,0.1895980537,2.544993162,9.272500038
AR,Prairie County,5117,8446,-45.58809662,36.4504776,14.10312462,-0.4734587073,-2.02963233,,0.2228344083,2.515690327,12.63899994
AR,Pulaski County,5119,389060,-39.73083496,27.77726555,14.82399368,-0.4227984548,-1.904397607,,0.2573549449,2.63018322,6.531599998
AR,Randolph County,5121,17851,-47.6977005,28.17965508,13.46809578,-0.3541926146,-1.813315868,,0.4226965308,2.8169384,11.87899971
AR,St. Francis County,5123,27883,-32.74754715,26.23981285,14.13054657,-0.3796121776,-1.889305234,,0.3828954101,2.747977257,11.92700005
AR,Saline County,5125,111670,,19.04737854,13.72747612,-0.3167524338,-1.733893871,,0.3778788149,2.839263201,7.320600033
AR,Scott County,5127,11007,,25.35058022,14.54590702,-0.4092515111,-1.899355888,,0.2935838401,2.749472618,12.49800014
AR,Searcy County,5129,7995,,24.69830513,13.7836647,-0.3485607505,-1.775265098,,0.3714020252,2.857832193,10.91300011
AR,Sebastian County,5131,127370,-39.68974686,27.51179886,14.11361885,-0.4220762849,-1.910259843,,0.2590057552,2.59787631,8.076000214
AR,Sevier County,5133,17174,,27.98246956,14.17058277,-0.4456159174,-1.96259892,,0.1723074317,2.669937611,14.18900013
AR,Sharp County,5135,17053,,22.97769547,13.13780403,-0.30720976,-1.726849437,,0.4869582951,2.971189022,10.69799995
AR,Stone County,5137,12628,,18.86984634,14.0392704,-0.3492620587,-1.803219199,,0.4095476568,2.880213261,10.14999962
AR,Union County,5139,40904,,41.87996674,14.23221493,-0.4772884846,-2.082249165,,0.1033683419,2.480093479,10.54300022
AR,Van Buren County,5141,17155,,26.09400368,13.7836647,-0.3485607505,-1.775265098,,0.3699920774,2.86096096,11.33899975
AR,Washington County,5143,211730,,10.80718613,13.44423103,-0.2848280072,-1.598683596,,0.546738565,3.115057945,5.033400059
AR,White County,5145,78652,-43.92308426,26.11210823,14.09415627,-0.4305778444,-1.908871293,,0.2353796959,2.576939821,9.275600433
AR,Woodruff County,5147,7071,-45.9877243,44.01316071,14.55567932,-0.4240383506,-1.979067326,,0.2773911059,2.613750219,13.13500023
AR,Yell County,5149,21811,-44.5577774,30.84307289,14.59292793,-0.4040919244,-1.795278549,,0.2568328381,2.546818733,12.41899967
CA,Alameda County,6001,1556200,25.534235,4.850970745,3.211860418,-0.2902449965,-1.074224353,,0.2285224199,2.465045691,1.377799988
CA,Alpine County,6003,1127,,-13.54347134,-1.429225445,-0.02681243606,-0.2452655882,,1.242194772,3.517534494,-1.346300006
CA,Amador County,6005,37072,-23.15556908,16.6266613,8.72851181,-0.4324415028,-1.439613938,,0.1318197548,2.386262178,5.429599762
CA,Butte County,6007,221280,17.22612572,18.60763931,8.807598114,-0.4152184725,-1.42950201,,0.2226589769,2.647696018,6.124700069
CA,Calaveras County,6009,44774,,-13.57184792,0.3349561095,-0.04053323716,-0.405269146,,1.140941381,3.260921001,-1.927800059
CA,Colusa County,6011,21397,11.91264725,12.5126276,9.347704887,-0.4426603913,-1.584548235,,0.06964255869,2.409318447,3.768300056
CA,Contra Costa County,6013,1079400,9.735039711,0.4348941147,-0.5390154719,-0.2887474,-1.138204813,,0.2244818658,2.509754658,0.4907599986
CA,Del Norte County,6015,28226,,-19.88660812,-1.998416185,-0.1442552656,0.03967501223,,0.6534240246,2.848015785,-4.859899998
CA,El Dorado County,6017,180610,,2.867098331,6.097695827,-0.2801288366,-1.161834598,,0.4892855287,2.922641993,1.640699983
CA,Fresno County,6019,948240,-22.18176651,16.58876419,10.2745924,-0.4526136518,-1.560835004,,0.01733185723,2.115065098,6.074100018
CA,Glenn County,6021,27938,-3.431405783,15.50413132,9.347704887,-0.4426603913,-1.584548235,,0.06964255869,2.409318447,5.7979002
CA,Humboldt County,6023,134680,31.3043251,-16.48023987,-1.858813643,-0.2191269249,0.05710137263,,0.6698561907,2.755938292,-3.90989995
